# w,mag,phase
1.000000000000000021e-02,4.000000000392000738e-06,8.999988540844097429e+01
1.028073223830865308e-02,4.112292895749412141e-06,8.999988219148647772e+01
1.056934553557988335e-02,4.227738214694792444e-06,8.999987888422170101e+01
1.086606113854597482e-02,4.346424455921315930e-06,8.999987548411135663e+01
1.117110650504824117e-02,4.468442602565776105e-06,8.999987198854893222e+01
1.148471547840289493e-02,4.593886191954967560e-06,8.999986839485481482e+01
1.180712846666190363e-02,4.722851387309998889e-06,8.999986470027411656e+01
1.213859262690628396e-02,4.855437051463632764e-06,8.999986090197461408e+01
1.247936205471311330e-02,4.991744822647084214e-06,8.999985699704464537e+01
1.282969797894147577e-02,5.131879192404409799e-06,8.999985298249065124e+01
1.318986896198669906e-02,5.275947585694193362e-06,8.999984885523520006e+01
1.356015110565633383e-02,5.424060443239949245e-06,8.999984461211438713e+01
1.394082826282577910e-02,5.576331306192379114e-06,8.999984024987550413e+01
1.433219225503573960e-02,5.732876903168344790e-06,8.999983576517449535e+01
1.473454309619835062e-02,5.893817239733338012e-06,8.999983115457348504e+01
1.514818922258345801e-02,6.059275690395983947e-06,8.999982641453803467e+01
1.557344772926134296e-02,6.229379093185145618e-06,8.999982154143449975e+01
1.601064461318317880e-02,6.404257846882111556e-06,8.999981653152723027e+01
1.646011502308550659e-02,6.584046010982377606e-06,8.999981138097571431e+01
1.692220351641037304e-02,6.768881408463726827e-06,8.999980608583165065e+01
1.739726432343801504e-02,6.958905731439299365e-06,8.999980064203579389e+01
1.788566161883461958e-02,7.154264649776702356e-06,8.999979504541502706e+01
1.838776980082327747e-02,7.355107922766410487e-06,8.999978929167907893e+01
1.890397377819221306e-02,7.561589513925053280e-06,8.999978337641722703e+01
1.943466926536021114e-02,7.773867709021600064e-06,8.999977729509488711e+01
1.998026308572550813e-02,7.992105237416929458e-06,8.999977104305024511e+01
2.054117348353064199e-02,8.216469396809775747e-06,8.999976461549053397e+01
2.111783044448244454e-02,8.447132181484742278e-06,8.999975800748850929e+01
2.171067602537265009e-02,8.684270414160554725e-06,8.999975121397856981e+01
2.232016469295234479e-02,8.928065881539852552e-06,8.999974422975289201e+01
2.294676367231936187e-02,9.178705473664165889e-06,8.999973704945749375e+01
2.359095330508634986e-02,9.436381327181168178e-06,8.999972966758804205e+01
2.425322741760353035e-02,9.701290972633768312e-06,8.999972207848573191e+01
2.493409369951879104e-02,9.973637485884204168e-06,8.999971427633283838e+01
2.563407409296514922e-02,1.025362964378902350e-05,8.999970625514836797e+01
2.635370519267394435e-02,1.054148208424440078e-05,8.999969800878338333e+01
2.709353865732051433e-02,1.083741547072441327e-05,8.999968953091635626e+01
2.785414163241767618e-02,1.114165666143847741e-05,8.999968081504825079e+01
2.863609718508115798e-02,1.145443888323754667e-05,8.999967185449764884e+01
2.944000475100035097e-02,1.177600191040243799e-05,8.999966264239550640e+01
3.026648059395692023e-02,1.210659224845132636e-05,8.999965317167993817e+01
3.111615827824361358e-02,1.244646332310728626e-05,8.999964343509086007e+01
3.198968915434537846e-02,1.279587567457079541e-05,8.999963342516434750e+01
3.288774285825510346e-02,1.315509715724607346e-05,8.999962313422690841e+01
3.381100782480685185e-02,1.352440314507440965e-05,8.999961255438968522e+01
3.476019181541977615e-02,1.390407674263180538e-05,8.999960167754231577e+01
