# w,mag,phase
1.000000000000000021e-02,2.000000000196000002e-10,1.799998854084409459e+02
1.028073223830865308e-02,2.113869107334930697e-10,1.799998821914864777e+02
1.056934553557988335e-02,2.234221301254243794e-10,1.799998788842217152e+02
1.086606113854597482e-02,2.361425693605620851e-10,1.799998754841113282e+02
1.117110650504824117e-02,2.495872411247861582e-10,1.799998719885489322e+02
1.148471547840289493e-02,2.637973792738326896e-10,1.799998683948548148e+02
1.180712846666190363e-02,2.788165652946076914e-10,1.799998647002741166e+02
1.213859262690628396e-02,2.946908619665201610e-10,1.799998609019746425e+02
1.247936205471311330e-02,3.114689546327633532e-10,1.799998569970446169e+02
1.282969797894147577e-02,3.292023005148133487e-10,1.799998529824906655e+02
1.318986896198669906e-02,3.479452865280824983e-10,1.799998488552352001e+02
1.356015110565633383e-02,3.677553960827348989e-10,1.799998446121144013e+02
1.394082826282577910e-02,3.886933853812344774e-10,1.799998402498755183e+02
1.433219225503573960e-02,4.108234697533130627e-10,1.799998357651745096e+02
1.473454309619835062e-02,4.342135205998383013e-10,1.799998311545734566e+02
1.514818922258345801e-02,4.589352735495919035e-10,1.799998264145380062e+02
1.557344772926134296e-02,4.850645484673614841e-10,1.799998215414345282e+02
1.601064461318317880e-02,5.126814819880958336e-10,1.799998165315272445e+02
1.646011502308550659e-02,5.418707732902859682e-10,1.799998113809757285e+02
1.692220351641037304e-02,5.727219438623483558e-10,1.799998060858316364e+02
1.739726432343801504e-02,6.053296120586861129e-10,1.799998006420357797e+02
1.788566161883461958e-02,6.397937832874822156e-10,1.799997950454150555e+02
1.838776980082327747e-02,6.762201567202011161e-10,1.799997892916790931e+02
1.890397377819221306e-02,7.147204494634619389e-10,1.799997833764172412e+02
1.943466926536021114e-02,7.554127391874912811e-10,1.799997772950949013e+02
1.998026308572550813e-02,7.984218262619747448e-10,1.799997710430502309e+02
2.054117348353064199e-02,8.438796165099497869e-10,1.799997646154905624e+02
2.111783044448244454e-02,8.919255257536294294e-10,1.799997580074885377e+02
2.171067602537265009e-02,9.427069073928427543e-10,1.799997512139785840e+02
2.232016469295234479e-02,9.963795043274909886e-10,1.799997442297529062e+02
2.294676367231936187e-02,1.053107926609978494e-09,1.799997370494575080e+02
2.359095330508634986e-02,1.113066156292598228e-09,1.799997296675880420e+02
2.425322741760353035e-02,1.176438081018154542e-09,1.799997220784857177e+02
2.493409369951879104e-02,1.243418057990348650e-09,1.799997142763328100e+02
2.563407409296514922e-02,1.314211510053558352e-09,1.799997062551483396e+02
2.635370519267394435e-02,1.389035555710154969e-09,1.799996980087834118e+02
2.709353865732051433e-02,1.468119675007576140e-09,1.799996895309163563e+02
2.785414163241767618e-02,1.551706413337385855e-09,1.799996808150482650e+02
2.863609718508115798e-02,1.640052125304813773e-09,1.799996718544976488e+02
2.944000475100035097e-02,1.733427760950184675e-09,1.799996626423954922e+02
3.026648059395692023e-02,1.832119696733506345e-09,1.799996531716799382e+02
3.111615827824361358e-02,1.936430613830800937e-09,1.799996434350908601e+02
3.198968915434537846e-02,2.046680426435846101e-09,1.799996334251643475e+02
3.288774285825510346e-02,2.163207262914357697e-09,1.799996231342269084e+02
3.381100782480685185e-02,2.286368502819765829e-09,1.799996125543896710e+02
3.476019181541977615e-02,2.416541872950992341e-09,1.799996016775423300e+02
3.573602246065788607e-02,2.554126605813835110e-09,1.799995904953467800e+02
3.673924781802074407e-02,2.699544664038779282e-09,1.799995789992309483e+02
3.777063694539368327e-02,2.853242034510561399e-09,1.799995671803820869e+02
3.883098049059605095e-02,3.015690096178351523e-09,1.799995550297400371e+02
3.992109129748053209e-02,3.187387065741675518e-09,1.799995425379903224e+02
4.104180502904709177e-02,3.368859525645745721e-09,1.799995296955568449e+02
4.219398080805026457e-02,3.560664039072609550e-09,1.799995164925948927e+02
4.337850187558989212e-02,3.763388856881028705e-09,1.799995029189832678e+02
4.459627626819093194e-02,3.977655721730274127e-09,1.799994889643165834e+02
4.584823751389095758e-02,4.204121774920889586e-09,1.799994746178973912e+02
4.713534534786909674e-02,4.443481571800589188e-09,1.799994598687279677e+02
4.845858644816495447e-02,4.696469211916396339e-09,1.799994447055017872e+02
4.981897519205162606e-02,4.963860590446067280e-09,1.799994291165949676e+02
5.121755443364241212e-02,5.246475777813745181e-09,1.799994130900572884e+02
5.265539630332755766e-02,5.545181534787991528e-09,1.799993966136029826e+02
5.413360302965380955e-02,5.860893970775826052e-09,1.799993796746015278e+02
5.565330778427646230e-02,6.194581353465504549e-09,1.799993622600676701e+02
5.721567555063251931e-02,6.547267078435182828e-09,1.799993443566517044e+02
5.882190401699955579e-02,6.920032807834775796e-09,1.799993259506290997e+02
6.047322449462649158e-02,7.314021787767494793e-09,1.799993070278900973e+02
6.217090286163826779e-02,7.730442354544793286e-09,1.799992875739287683e+02
6.391624053344005518e-02,8.170571640568667758e-09,1.799992675738320429e+02
6.571057546036269958e-02,8.635759491206446200e-09,1.799992470122681425e+02
6.755528315331643663e-02,9.127432604671429911e-09,1.799992258734748418e+02
6.945177773823696388e-02,9.647098907605530725e-09,1.799992041412474180e+02
7.140151304013399314e-02,1.019635217978399424e-08,1.799991817989262586e+02
7.340598369757211916e-02,1.077687694212557555e-08,1.799991588293841573e+02
7.546672630843891116e-02,1.139045362299944467e-08,1.799991352150129273e+02
7.758532060787835805e-02,1.203896401867350761e-08,1.799991109377101282e+02
7.976339067929276438e-02,1.272439706465101341e-08,1.799990859788651676e+02
8.200260619934131301e-02,1.344885493559563177e-08,1.799990603193449203e+02
8.430468371788971127e-02,1.421455949255315146e-08,1.799990339394791761e+02
8.667138797389233040e-02,1.502385909724294331e-08,1.799990068190455759e+02
8.910453324821512866e-02,1.587923581431811442e-08,1.799989789372538951e+02
9.160598475443709754e-02,1.678331302368332839e-08,1.799989502727303829e+02
9.417766006869518480e-02,1.773886346621636756e-08,1.799989208035012780e+02
9.682153059967085751e-02,1.874881774756990414e-08,1.799988905069758687e+02
9.953962309984233647e-02,1.981627332613282559e-08,1.799988593599292415e+02
1.023340212191641702e-01,2.094450401271808455e-08,1.799988273384846025e+02
1.052068671023622809e-01,2.213697001111050007e-08,1.799987944180946897e+02
1.081603630310710024e-01,2.339732853026928303e-08,1.799987605735232705e+02
1.111967731120698938e-01,2.472944500073156071e-08,1.799987257788255022e+02
1.143184250129149759e-01,2.613740492961725419e-08,1.799986900073283493e+02
1.175277117462945192e-01,2.762552643059334436e-08,1.799986532316098646e+02
1.208270935044776506e-01,2.919837346722662378e-08,1.799986154234783271e+02
1.242190995452617380e-01,3.086076985034096496e-08,1.799985765539505849e+02
1.277063301308644094e-01,3.261781403230831310e-08,1.799985365932297441e+02
1.312914585212465457e-01,3.447489474364639068e-08,1.799984955106825169e+02
1.349772330233942608e-01,3.643770751987954184e-08,1.799984532748156880e+02
1.387664790981308627e-01,3.851227216934956200e-08,1.799984098532517578e+02
