# w,mag,phase
1.000000000000000000e+02,2.019789902282554284e+00,-1.157333068129517528e+00
1.009271514630570863e+02,2.020162206545455863e+00,-1.168280115691716636e+00
1.018628990244687600e+02,2.020541584626526443e+00,-1.179334828102243549e+00
1.028073223830864720e+02,2.020928173576895581e+00,-1.190498380702968317e+00
1.037605019766911738e+02,2.021322113203569248e+00,-1.201771964894642997e+00
1.047225189888434329e+02,2.021723546128651794e+00,-1.213156788439840206e+00
1.056934553557988323e+02,2.022132617849984992e+00,-1.224654075773491835e+00
1.066733937734857136e+02,2.022549476803234381e+00,-1.236265068321212413e+00
1.076624177045493269e+02,2.022974274425477947e+00,-1.247991024825686912e+00
1.086606113854596884e+02,2.023407165220323378e+00,-1.259833221681320170e+00
1.096680598336868542e+02,2.023848306824608478e+00,-1.271792953277436133e+00
1.106848488549411940e+02,2.024297860076719857e+00,-1.283871532350252309e+00
1.117110650504824179e+02,2.024755989086581831e+00,-1.296070290343934062e+00
1.127467958244946118e+02,2.025222861307361288e+00,-1.308390577780958797e+00
1.137921293915315033e+02,2.025698647608936920e+00,-1.320833764642125319e+00
1.148471547840289020e+02,2.026183522353182553e+00,-1.333401240756457051e+00
1.159119618598885779e+02,2.026677663471111668e+00,-1.346094416201352617e+00
1.169866413101306932e+02,2.027181252541954137e+00,-1.358914721713248452e+00
1.180712846666190359e+02,2.027694474874200292e+00,-1.371863609109176041e+00
1.191659843098558724e+02,2.028217519588676243e+00,-1.384942551719497761e+00
1.202708334768511946e+02,2.028750579703723744e+00,-1.398153044832225245e+00
1.213859262690627645e+02,2.029293852222518790e+00,-1.411496606149232669e+00
1.225113576604119032e+02,2.029847538222625314e+00,-1.424974776254789299e+00
1.236472235053714996e+02,2.030411842947816847e+00,-1.438589119096754798e+00
1.247936205471311411e+02,2.030986975902261182e+00,-1.452341222480887151e+00
1.259506464258357710e+02,2.031573150947123096e+00,-1.466232698578629590e+00
1.271183996869028903e+02,2.032170586399664192e+00,-1.480265184448863236e+00
1.282969797894147632e+02,2.032779505134906461e+00,-1.494440342574022029e+00
1.294864871145904885e+02,2.033400134689959504e+00,-1.508759861411081538e+00
1.306870229743346385e+02,2.034032707371061122e+00,-1.523225455957858188e+00
1.318986896198670422e+02,2.034677460363440105e+00,-1.537838868335162701e+00
1.331215902504307564e+02,2.035334635844084250e+00,-1.552601868385276918e+00
1.343558290220826166e+02,2.036004481097484220e+00,-1.567516254287341981e+00
1.356015110565633393e+02,2.036687248634475367e+00,-1.582583853190159484e+00
1.368587424502519241e+02,2.037383196314252576e+00,-1.597806521863034623e+00
1.381276302832009435e+02,2.038092587469666483e+00,-1.613186147365210932e+00
1.394082826282578651e+02,2.038815691035902322e+00,-1.628724647734565822e+00
1.407008085602685128e+02,2.039552781682654192e+00,-1.644423972696150038e+00
1.420053181653683225e+02,2.040304139949900009e+00,-1.660286104391315520e+00
1.433219225503573853e+02,2.041070052387396139e+00,-1.676313058128037881e+00
1.446507338521647057e+02,2.041850811698010748e+00,-1.692506883153239494e+00
1.459918652473978682e+02,2.042646716885018865e+00,-1.708869663447783127e+00
1.473454309619835954e+02,2.043458073403498609e+00,-1.725403518544973203e+00
1.487115462808953623e+02,2.044285193315942273e+00,-1.742110604373322991e+00
1.500903275579736658e+02,2.045128395452249670e+00,-1.758993114124469681e+00
1.514818922258345708e+02,2.045988005574215229e+00,-1.776053279147045361e+00
1.528863588058731011e+02,2.046864356544694896e+00,-1.793293369867489995e+00
1.543038469183564700e+02,2.047757788501577192e+00,-1.810715696738652847e+00
1.557344772926135192e+02,2.048668649036743616e+00,-1.828322611217242821e+00
1.571783717773162721e+02,2.049597293380172935e+00,-1.846116506771070753e+00
1.586356533508589735e+02,2.050544084589373650e+00,-1.864099819917197420e+00
1.601064461318317740e+02,2.051509393744320064e+00,-1.882275031292041989e+00
1.615908753895919006e+02,2.052493600148085129e+00,-1.900644666754602863e+00
1.630890675549332514e+02,2.053497091533368124e+00,-1.919211298523997300e+00
1.646011502308549836e+02,2.054520264275117913e+00,-1.937977546352533720e+00
1.661272522034292933e+02,2.055563523609470700e+00,-1.956946078735601002e+00
1.676675034527699211e+02,2.056627283859218114e+00,-1.976119614159726146e+00
1.692220351641037155e+02,2.057711968666039670e+00,-1.995500922390193610e+00
1.707909797389426956e+02,2.058818011229742506e+00,-2.015092825799656318e+00
1.723744708063619839e+02,2.059945854554754874e+00,-2.034898200739279517e+00
1.739726432343800866e+02,2.061095951704133622e+00,-2.054919978953964499e+00
1.755856331414468912e+02,2.062268766061365000e+00,-2.075161149043320385e+00
1.772135779080358589e+02,2.063464771600227454e+00,-2.095624757970055541e+00
1.788566161883461803e+02,2.064684453163027733e+00,-2.116313912617622250e+00
1.805148879221108302e+02,2.065928306747506493e+00,-2.137231781398919228e+00
1.821885343465167182e+02,2.067196839802737607e+00,-2.158381595918033469e+00
1.838776980082326986e+02,2.068490571534355560e+00,-2.179766652687012307e+00
1.855825227755518938e+02,2.069810033219459555e+00,-2.201390314899807077e+00
1.873031538506436675e+02,2.071155768531560248e+00,-2.223256014265538649e+00
1.890397377819221560e+02,2.072528333875939488e+00,-2.245367252903458510e+00
1.907924224765264967e+02,2.073928298735833842e+00,-2.267727605301909755e+00
1.925613572129198587e+02,2.075356246029844698e+00,-2.290340720343895242e+00
1.943466926536020196e+02,2.076812772481006153e+00,-2.313210323401765134e+00
1.961485808579431307e+02,2.078298488997972093e+00,-2.336340218503865973e+00
1.979671752951332735e+02,2.079814021068783436e+00,-2.359734290575892679e+00
1.998026308572550818e+02,2.081360009167711578e+00,-2.383396507760046745e+00
2.016551038724746547e+02,2.082937109175692747e+00,-2.407330923815010237e+00
2.035247521183577817e+02,2.084545992814895499e+00,-2.431541680600106226e+00
2.054117348353064187e+02,2.086187348097972016e+00,-2.456033010646963888e+00
2.073162127401231203e+02,2.087861879792599407e+00,-2.480809239822342249e+00
2.092383480396976836e+02,2.089570309901910505e+00,-2.505874790085787396e+00
2.111783044448244482e+02,2.091313378161467007e+00,-2.531234182346097761e+00
2.131362471841437696e+02,2.093091842553449045e+00,-2.556892039420629370e+00
2.151123430182167340e+02,2.094906479838766877e+00,-2.582853089101812660e+00
2.171067602537264918e+02,2.096758086107830543e+00,-2.609122167335292009e+00
2.191196687578149636e+02,2.098647477350759516e+00,-2.635704221514488577e+00
2.211512399725488649e+02,2.100575490047838390e+00,-2.662604313896447028e+00
2.232016469295234629e+02,2.102542981781074793e+00,-2.689827625144217027e+00
2.252710642645980386e+02,2.104550831867741501e+00,-2.717379458001137671e+00
2.273596682327717531e+02,2.106599942016856630e+00,-2.745265241102795795e+00
2.294676367231936069e+02,2.108691237009563846e+00,-2.773490532932548547e+00
2.315951492743154461e+02,2.110825665404459706e+00,-2.802061025927001126e+00
2.337423870891815056e+02,2.113004200268930433e+00,-2.830982550737918046e+00
2.359095330508636152e+02,2.115227839937654952e+00,-2.860261080657592547e+00
2.380967717380358408e+02,2.117497608799448816e+00,-2.889902736214863932e+00
2.403042894406969481e+02,2.119814558113709335e+00,-2.919913789949507787e+00
2.425322741760352869e+02,2.122179766857775540e+00,-2.950300671372957595e+00
2.447809157044440269e+02,2.124594342606585862e+00,-2.981069972123897571e+00
2.470504055456825370e+02,2.127059422446092807e+00,-3.012228451327533918e+00
2.493409369951880308e+02,2.129576173921951643e+00,-3.043783041167951620e+00
2.516527051405391546e+02,2.132145796025109341e+00,-3.075740852683406246e+00
2.539859068780723987e+02,2.134769520215971994e+00,-3.108109181794906473e+00
2.563407409296514743e+02,2.137448611488945716e+00,-3.140895515579002595e+00
2.587174078595924129e+02,2.140184369479217086e+00,-3.174107538796313133e+00
2.611161100917459521e+02,2.142978129613764438e+00,-3.207753140687898963e+00
2.635370519267393092e+02,2.145831264308670328e+00,-3.241840422052324477e+00
2.659804395593758386e+02,2.148745184214944093e+00,-3.276377702616819931e+00
2.684464810961965213e+02,2.151721339515166420e+00,-3.311373528716835324e+00
2.709353865732051645e+02,2.154761221273394423e+00,-3.346836681299011129e+00
2.734473679737579914e+02,2.157866362840922925e+00,-3.382776184263422081e+00
2.759826392466180209e+02,2.161038341320600686e+00,-3.419201313161831290e+00
2.785414163241766232e+02,2.164278779092599692e+00,-3.456121604269689396e+00
2.811239171408464017e+02,2.167589345404656864e+00,-3.493546864050605105e+00
2.837303616516211378e+02,2.170971758030007859e+00,-3.531487179033042434e+00
2.863609718508116089e+02,2.174427784996396440e+00,-3.569952926120240733e+00
2.890159717909508572e+02,2.177959246389757020e+00,-3.608954783355441620e+00
2.916955876018795948e+02,2.181568016236355323e+00,-3.648503741165996406e+00
2.944000475100033896e+02,2.185256024467410629e+00,-3.688611114111066680e+00
2.971295818577333989e+02,2.189025258970445531e+00,-3.729288553159385344e+00
2.998844231231027493e+02,2.192877767731873817e+00,-3.770548058524880286e+00
3.026648059395691917e+02,2.196815661075595560e+00,-3.812401993089835184e+00
3.054709671159968138e+02,2.200841114002649590e+00,-3.854863096446930371e+00
3.083031456568277235e+02,2.204956368637308373e+00,-3.897944499593562373e+00
3.111615827824359712e+02,2.209163736785272558e+00,-3.941659740313736116e+00
3.140465219496752525e+02,2.213465602610039440e+00,-3.986022779285263162e+00
3.169582088726115217e+02,2.217864425433832221e+00,-4.031048016952033741e+00
3.198968915434537621e+02,2.222362742669917068e+00,-4.076750311204069277e+00
3.228628202536730214e+02,2.226963172893525300e+00,-4.123144995910344335e+00
3.258562476153226157e+02,2.231668419059107400e+00,-4.170247900352645587e+00
