# w,mag,phase
1.000000000000000000e+01,1.996408974695086380e+00,-3.433972938112778372e+00
1.018628990244687493e+01,1.996274283281188389e+00,-3.497800132522326688e+00
1.037605019766911774e+01,1.996134553467441952e+00,-3.562808173809965062e+00
1.056934553557988288e+01,1.995989597819103123e+00,-3.629018595993223517e+00
1.076624177045493269e+01,1.995839222007722125e+00,-3.696453308050948294e+00
1.096680598336868506e+01,1.995683224563635561e+00,-3.765134599438143326e+00
1.117110650504824143e+01,1.995521396620040244e+00,-3.835085145621875746e+00
1.137921293915315069e+01,1.995353521648385753e+00,-3.906328013634156271e+00
1.159119618598885637e+01,1.995179375184844339e+00,-3.978886667637434815e+00
1.180712846666190252e+01,1.994998724547586200e+00,-4.052784974497989801e+00
1.202708334768512088e+01,1.994811328544604079e+00,-4.128047209362175174e+00
1.225113576604118926e+01,1.994616937171819204e+00,-4.204698061230095263e+00
1.247936205471311411e+01,1.994415291301188331e+00,-4.282762638520908993e+00
1.271183996869028832e+01,1.994206122358551436e+00,-4.362266474623535117e+00
1.294864871145904317e+01,1.993989151990928077e+00,-4.443235533426154404e+00
1.318986896198669889e+01,1.993764091722990184e+00,-4.525696214817372720e+00
1.343558290220825668e+01,1.993530642602430403e+00,-4.609675360151497259e+00
1.368587424502518424e+01,1.993288494833931113e+00,-4.695200257669862154e+00
1.394082826282577869e+01,1.993037327401462777e+00,-4.782298647869587249e+00
1.420053181653682373e+01,1.992776807678616091e+00,-4.870998728810636003e+00
1.446507338521646346e+01,1.992506591026687035e+00,-4.961329161351426542e+00
1.473454309619835101e+01,1.992226320380228177e+00,-5.053319074302655700e+00
1.500903275579735840e+01,1.991935625819788891e+00,-5.146998069488354588e+00
1.528863588058730194e+01,1.991634124131557160e+00,-5.242396226702505935e+00
1.557344772926134269e+01,1.991321418353635631e+00,-5.339544108548855306e+00
1.586356533508590516e+01,1.990997097308675245e+00,-5.438472765150814681e+00
1.615908753895918437e+01,1.990660735122607106e+00,-5.539213738717577051e+00
1.646011502308550689e+01,1.990311890729211886e+00,-5.641799067951716040e+00
1.676675034527699992e+01,1.989950107360280329e+00,-5.746261292282782485e+00
1.707909797389427808e+01,1.989574912021132347e+00,-5.852633455910401850e+00
1.739726432343801577e+01,1.989185814951260456e+00,-5.960949111639538778e+00
1.772135779080359441e+01,1.988782309069897947e+00,-6.071242324489596776e+00
1.805148879221109226e+01,1.988363869406307272e+00,-6.183547675058005844e+00
1.838776980082327839e+01,1.987929952514626342e+00,-6.297900262617883271e+00
1.873031538506437599e+01,1.987479995873097982e+00,-6.414335707928286112e+00
1.907924224765266175e+01,1.987013417267569970e+00,-6.532890155734407678e+00
1.943466926536020267e+01,1.986529614159149304e+00,-6.653600276933861579e+00
1.979671752951332664e+01,1.986027963035933430e+00,-6.776503270384043986e+00
2.016551038724746547e+01,1.985507818748779352e+00,-6.901636864324108167e+00
2.054117348353064187e+01,1.984968513831091075e+00,-7.029039317383986685e+00
2.092383480396976836e+01,1.984409357802664697e+00,-7.158749419151318349e+00
2.131362471841437767e+01,1.983829636457654866e+00,-7.290806490265791417e+00
2.171067602537264918e+01,1.983228611136782948e+00,-7.425250382008949046e+00
2.211512399725488720e+01,1.982605517983960342e+00,-7.562121475355938038e+00
2.252710642645980244e+01,1.981959567187543403e+00,-7.701460679454159575e+00
2.294676367231935998e+01,1.981289942206510668e+00,-7.843309429492099305e+00
2.337423870891814914e+01,1.980595798981918287e+00,-7.987709683919982595e+00
2.380967717380358195e+01,1.979876265134042024e+00,-8.134703920982243375e+00
2.425322741760352940e+01,1.979130439145719844e+00,-8.284335134519933419e+00
2.470504055456825299e+01,1.978357389532467314e+00,-8.436646828999489145e+00
2.516527051405391546e+01,1.977556154000043698e+00,-8.591683013722452245e+00
2.563407409296515027e+01,1.976725738590233261e+00,-8.749488196168808685e+00
